name,role,base_ovr,batting_ovr,bowling_ovr,is_overseas,age,batting_hand,bowling_hand,batting_archetype,bowling_phase,bowling_type,strengths,weaknesses
MS Dhoni,Wicketkeeper,80,80,10,False,44,Right,None,Finisher,Part-time,None,The greatest IPL captain ever with legendary finishing instincts and cool match-winning finishing ability,At 44 pace is no longer effective and batting is now occasional late-order contribution only
Michael Bracewell,All-Rounder,80,79,73,True,34,Left,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,New Zealand all-rounder who contributes aggressively with the bat and bowls economical off-spin,IPL record is modest and not consistently at the level of the best franchise all-rounders
Prashant Veer,All-Rounder,80,78,77,False,19,Left,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young uncapped all-rounder with late-innings batting potential and useful seam bowling variety,Needs sustained IPL seasons to confirm talent and both departments require further development
Rahul Tewatia,Batsman,80,78,46,False,31,Left,Right,Finisher,Part-time,None,Famous for improbable late-innings hitting Tewatia specialises in match-winning death-over bursts for Gujarat Titans,High variance and dependent on a few balls at the end means output fluctuates significantly
Shardul Thakur,All-Rounder,80,62,79,False,34,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Aggressive T20 bowler who takes wickets with pace and seam and contributes useful lower-order runs,Economy suffers against attacking batters and batting is situational cameo rather than reliable
Anshul Kamboj,Bowler (Fast),80,45,80,False,25,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Young right-arm seamer who took 21 wickets in 2026 IPL including a hat-trick and generates genuine pace,Still building consistency and economy can be high when targeting wickets aggressively at the crease
Tushar Deshpande,Bowler (Fast),80,18,80,False,30,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Right-arm death specialist with improving IPL record and useful death-over variations,Not a powerplay bowler and economy under death-over pressure can be inconsistent
AM Ghazanfar,Bowler (Spin),80,18,80,True,20,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Young Afghan leg-spinner who took 15 wickets in 2026 for MI with excellent deceptive variations,Very young with limited experience and quality batters can attack him when they are set
Spencer Johnson,Bowler (Fast),80,14,80,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,Left-arm pace specialist with excellent late-swing and ability to take wickets in the early phases,Expensive if conditions do not swing and batting is negligible
Yash Dayal,Bowler (Fast),80,12,80,False,28,Left,Left,Defensive Tailender,Death Overs,Left-arm Medium,Left-arm death specialist for GT who delivers yorkers effectively and creates pressure at the back end,Economy at death can spike when batters are aggressive and batting is not a strength
Sandeep Sharma,Bowler (Fast),80,12,80,False,33,Right,Right,Defensive Tailender,New Ball,Right-arm Swing,Experienced IPL powerplay bowler with reliable swing and good economy against T20 top orders,Not effective in death overs and batting is minimal at the lower order
Lockie Ferguson,Bowler (Fast),80,12,80,True,33,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Raw pace and tight economy make Ferguson a quality T20 bowler in all conditions and phases,Batting negligible and consistency varies when pitches offer little assistance to his pace style
Fazalhaq Farooqi,Bowler (Fast),80,12,80,True,25,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,Afghan left-arm fast bowler with excellent swing and wicket-taking ability in powerplay overs,Batting limited and economy can be high in middle overs when conditions do not help swing
Matthew Short,All-Rounder,79,79,68,True,30,Right,Right,Aggressive Opener,Flexible,Right-arm Offbreak,Aggressive Australian opener who bats at high strike rates and contributes genuine part-time off-spin,IPL record is limited and bowling is supplementary to batting as the primary contribution
Sherfane Rutherford,Batsman,79,79,35,True,27,Left,Right,Finisher,Part-time,None,West Indian left-hand power-hitter who provides explosive late-innings hitting for Mumbai Indians,High variance in limited-ball role and consistency of output across a full season is unpredictable
Nehal Wadhera,Batsman,79,79,15,False,25,Left,Right,Middle-over Rotator,Part-time,None,Left-hand middle-order batter with good tempo awareness and ability to rotate strike and find boundaries,Power ceiling is below specialist finishers and role in the lineup can be inconsistent
Tim Seifert,Batsman,79,79,10,True,31,Right,None,Aggressive Opener,Part-time,None,Attacking New Zealand keeper-batter whose IPL appearances are limited but strike rate profile is excellent,IPL experience is very limited and the ability to sustain this across a full campaign is unconfirmed
Rahul Tripathi,Batsman,79,79,10,False,35,Right,Right,Middle-over Rotator,Part-time,None,Experienced IPL right-hand middle-order batter with good track record of aggressive innings across franchises,At 35 form has declined from best seasons and may struggle to keep place in competitive lineups
Abishek Porel,Wicketkeeper,79,79,10,False,23,Left,None,Aggressive Opener,Part-time,None,Left-hand keeper-batter with promising IPL career and strong underlying numbers across two seasons,Consistency in powerplay needs improvement and he has not yet nailed down a permanent top-order spot
Jacob Bethell,All-Rounder,79,76,75,True,22,Left,Left,Middle-over Rotator,Flexible,Left-arm Medium,Young English all-rounder with genuine two-way talent and exciting T20 upside including IPL promise,Still converting potential into sustained output and consistency across a full season is the challenge
Shahbaz Ahmed,All-Rounder,79,73,76,False,31,Left,Left,Lower-order Hitter,Middle Overs,Left-arm Orthodox,Productive lower-order left-hand bat and left-arm spinner with consistent IPL record for RCB and other franchises,Not a frontline batting option and bowling is reliable but not match-winning against quality batters
Brydon Carse,All-Rounder,79,58,79,True,30,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,English fast bowler with genuine pace who contributes useful lower-order runs in his T20 all-round game,Economy needs tightening and batting contribution is cameo-only rather than reliable
Akash Deep,Bowler (Fast),79,20,79,False,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Developing Indian pacer with good pace and bounce who earned a Test debut and is improving in IPL,Economy can be high in shorter format and batting is minimal with mostly a defensive lower-order role
Adam Milne,Bowler (Fast),79,15,79,True,34,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,New Zealand quick with genuine pace who provides an attacking threat in limited IPL outings,Injury history has severely limited his availability and the bowling sample is modest
Digvesh Rathi,Bowler (Spin),79,14,79,False,26,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Developing IPL leg-spinner with wicket-taking potential whose 2026 season showed real improvement,Still needs sustained seasons to confirm long-term T20 franchise quality
Lungi Ngidi,Bowler (Fast),79,11,79,True,29,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,South African pace bowler with consistent T20 quality and good new-ball control in powerplay phases,Batting negligible and economy can suffer on flat surfaces against aggressive power-hitters
Rovman Powell,Batsman,78,78,40,True,32,Right,Right,Finisher,Part-time,None,West Indian power-hitter who delivers high-octane batting in the slog overs and scores quickly under pressure,High-variance role means some outstanding innings alternate with low scores in difficult conditions
Naman Dhir,Batsman,78,78,32,False,26,Right,Right,Middle-over Rotator,Part-time,None,Right-hand middle-order batter for MI with good IPL record who accumulates runs with tempo awareness,Power ceiling below specialist finishers and is best suited to role of bridging middle and death overs
Tom Banton,Wicketkeeper,78,78,10,True,27,Right,None,Aggressive Opener,Part-time,None,Flamboyant English keeper-opener with exceptional T20 striking ability and high ceiling on good days,Very inconsistent with vulnerability to quality pace and spin before being properly set
Jamie Smith,Wicketkeeper,78,78,10,True,25,Right,None,Aggressive Opener,Part-time,None,Excellent England wicketkeeper-batter whose white-ball credentials make him a strong T20 franchise option,IPL experience is very limited and translating Test form to T20 requires proven franchise output
Angkrish Raghuvanshi,Wicketkeeper,78,78,10,False,20,Right,None,Anchor,Part-time,None,Young KKR keeper-batter who scored 422 runs in 2026 IPL showing excellent temperament and consistency,As a teenager building experience further and power game needs development for elite T20 finishing
M Shahrukh Khan,Batsman,78,77,45,False,31,Right,Right,Finisher,Part-time,None,Tamil Nadu power-hitter who specialises in explosive late-innings batting and has consistent IPL finishing record,Role-dependent with limited deliveries meaning output varies greatly across matches
Wiaan Mulder,All-Rounder,78,76,78,True,28,Right,Right,Middle-over Rotator,Flexible,Right-arm Medium,Versatile South African all-rounder with genuine two-way T20 value across seam bowling and batting,Not yet at the elite level in either department to be a genuine franchise-defining player
Romario Shepherd,All-Rounder,78,74,75,True,31,Right,Right,Lower-order Hitter,Death Overs,Right-arm Medium,West Indian all-rounder with high-impact lower-order hitting and useful death-over seam bowling,Economy at death can be expensive and batting is cameo dependent rather than innings-building
Gus Atkinson,All-Rounder,78,52,78,True,28,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,England Test fast bowler who adds T20 pace and useful lower-order hitting as a genuine bowling all-rounder,T20 economy needs development and batting contribution is irregular rather than dependable
Kyle Jamieson,Bowler (Fast),78,45,78,True,31,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Tall New Zealander with excellent bounce and seam movement who generated rare wicket chances in powerplay,Batting provides occasional cameos and T20 economy in flat conditions needs improvement
Harpreet Brar,Bowler (Spin),78,45,77,False,30,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Reliable Punjab left-arm spinner with consistent IPL economy and genuine wicket-taking record across seasons,Batting is supplementary and can struggle against right-hand batters who use premeditated sweeps
Rasikh Salam,Bowler (Fast),78,25,78,False,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Kashmir's young fast bowler with genuine pace and ability to take wickets in death-over situations,Consistency needs development and economy under pressure at the back end needs improvement
Alzarri Joseph,Bowler (Fast),78,24,78,True,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,West Indian paceman who holds the IPL record for most wickets on debut and generates genuine speed,Economy can be high when targeting wickets and batting provides minimal value
Taskin Ahmed,Bowler (Fast),78,16,78,True,31,Left,Right,Defensive Tailender,New Ball,Right-arm Fast,Bangladesh paceman with natural seam movement who is effective in powerplay and T20 conditions broadly,Economy can suffer against aggressive batters and batting negligible
Nandre Burger,Bowler (Fast),78,16,78,True,30,Left,Left,Defensive Tailender,New Ball,Left-arm Fast,South African left-arm quick with good angle against right-handers and consistent powerplay wicket-taking,Economy at death is expensive and batting is not a genuine contribution
Suyash Sharma,Bowler (Spin),78,11,78,False,23,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Young wrist-spinner with deceptive variations who developed strong IPL form across 2025 and 2026 seasons,Young with limited experience and set batters with aggressive intent can target him in middle overs
Nuwan Thushara,Bowler (Fast),78,11,78,True,31,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Sri Lankan right-arm quick who is effective in the death overs with genuine pace and attacking lengths,Economy can suffer under pressure and batting provides no real contribution to team balance
Cooper Connolly,All-Rounder,77,77,66,True,22,Left,Left,Aggressive Opener,Middle Overs,Left-arm Orthodox,Outstanding young Australian all-rounder who scored 491 runs at 163 SR and bowled efficiently in 2026,Still 22 with a small IPL sample and the consistency needed over multiple seasons is yet to be shown
Abhinav Manohar,Batsman,77,77,12,False,31,Right,None,Finisher,Part-time,None,Right-hand middle-order finisher with consistent IPL career across GT and other franchises,Limited bowling means only batting value which needs to be consistently impactful to justify selection
Prithvi Shaw,Batsman,77,77,10,False,26,Right,Right,Aggressive Opener,Part-time,None,Naturally aggressive right-hand opener with exceptional flat-wicket boundary-hitting and IPL highs,Well-known vulnerability to balls moving away outside off-stump that regularly creates dismissals
Matthew Breetzke,Wicketkeeper,77,77,10,True,27,Right,None,Aggressive Opener,Part-time,None,South African keeper-opener with aggressive international credentials and high T20 strike rate potential,IPL experience is developing and sustained output across a full franchise campaign is needed
Jack Edwards,All-Rounder,77,74,72,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Australian all-rounder with genuine two-way value whose domestic form has earned IPL attention,Yet to fully confirm T20 franchise quality and both batting and bowling need sustained improvement
Jamie Overton,All-Rounder,77,70,74,True,32,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,English fast-bowling all-rounder who contributed usefully for CSK in 2026 with bowling and some batting,Economy can be inconsistent and batting is lower-order rather than match-winning
Sean Abbott,All-Rounder,77,48,77,True,34,Right,Right,Lower-order Hitter,Death Overs,Right-arm Fast,Australian death-over specialist with consistent pace and ability to execute yorkers and slower balls well,Batting is limited to short cameos and consistency across a full T20 season needs proving
Xavier Bartlett,Bowler (Fast),77,24,77,True,28,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Queensland pace bowler who took wickets in 2026 IPL powerplay and generates good carry and bounce,Economy can be expensive against very aggressive batters and batting is negligible
Vijaykumar Vyshak,Bowler (Fast),77,18,77,False,29,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Karnataka right-arm pacer who contributes across all phases and has taken wickets in multiple IPL seasons,Not outstanding in any one phase and economy can suffer on flat surfaces in death overs
Jhye Richardson,Bowler (Fast),77,18,77,True,28,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Australian death-over bowler with excellent variations and consistent T20 franchise quality across phases,Injury history has created availability concerns and batting is a minor contribution
Mayank Markande,Bowler (Spin),77,16,77,False,28,Right,Right,Defensive Tailender,Middle Overs,Leg-spin,Leg-spinner who impressed in debut IPL seasons with variations but has had a mixed career since,Batting negligible and economy can suffer when batters are set and attacking aggressively
Vaibhav Arora,Bowler (Fast),77,13,77,False,28,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,KKR right-arm pace bowler with decent IPL economy who bowls in all phases and generates movement,Not a premium wicket-taker and economy can suffer under death-over pressure
Yash Thakur,Bowler (Fast),77,12,77,False,27,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Vidarbha right-arm pacer who has contributed in multiple IPL seasons with reasonable economy and wickets,Not a frontline specialist and needs more consistent match-winning performances
Kwena Maphaka,Bowler (Fast),77,11,77,True,20,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Very young South African left-arm quick with high pace ceiling and strong T20 franchise potential,Just 20 and very limited IPL experience meaning sustained T20 quality is yet to be established
Dasun Shanaka,All-Rounder,76,76,58,True,34,Right,Right,Finisher,Part-time,Right-arm Medium,Sri Lankan T20 captain with lower-order power-hitting and useful medium-pace who has consistent T20 output,Not elite in either department and form at franchise level can be inconsistent across a full season
Dan Lawrence,All-Rounder,76,76,55,True,28,Right,Right,Middle-over Rotator,Part-time,Right-arm Offbreak,English middle-order batter with useful part-time off-spin and solid T20 franchise credentials,Not yet at the elite level of IPL batters and bowling is supplementary rather than frontline
Sarfaraz Khan,Batsman,76,76,10,False,28,Right,Right,Middle-over Rotator,Part-time,None,Aggressive domestic superstar whose Test form has been outstanding but T20 consistency needs proving,Strike rate in T20 powerplay can be below modern expectations and power-hitting needs development
Jordan Cox,Batsman,76,76,10,True,25,Right,None,Middle-over Rotator,Part-time,None,Young English batter with strong county record and solid T20 batting credentials across all phases,IPL experience is developing and consistency at top franchise level is not yet fully confirmed
Tanush Kotian,All-Rounder,76,72,76,False,27,Right,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,Mumbai Indians domestic all-rounder with off-spin economy and useful batting contribution in franchise cricket,Not yet a consistent first-choice pick at elite IPL level and both departments need further refinement
Jaydev Unadkat,Bowler (Fast),76,22,76,False,34,Right,Left,Defensive Tailender,New Ball,Left-arm Fast,Experienced left-arm seamer with strong early IPL record and ability to take powerplay wickets with swing,Declining pace with age and batting is minimal contribution to team totals
Jacob Duffy,Bowler (Fast),76,15,76,True,32,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,New Zealand new-ball specialist with consistent powerplay quality who contributed usefully in 2026 IPL,Not a death-over specialist and batting is negligible to the team
Dushmantha Chameera,Bowler (Fast),76,14,76,True,34,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Sri Lankan right-arm pace bowler who can contribute in all phases and generates decent pace,Economy is inconsistent and injury history has limited his IPL availability significantly
Riley Meredith,Bowler (Fast),76,12,76,True,29,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Australian rapid bowler who generates pace and can take death-over wickets with pace off a short length,Economy can be very expensive when rhythm is off and batting is negligible
Richard Gleeson,Bowler (Fast),76,12,76,True,38,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,English new-ball specialist with late-career IPL return and consistent powerplay accuracy and movement,Minimal batting and declining at 38 which reduces his peak pace and effectiveness
Kuldeep Sen,Bowler (Fast),76,12,76,False,29,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Chhattisgarh right-arm pacer who contributes across phases and has decent IPL wicket-taking record,Not a premium specialist in any one phase and economy needs tightening at franchise level
Gurjapneet Singh,Bowler (Fast),76,12,76,False,27,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Left-arm pace option with limited IPL appearances and some domestic quality showing,Very limited senior experience and needs sustained franchise opportunities to develop
Manimaran Siddharth,Bowler (Spin),76,11,76,False,27,Right,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Tamil Nadu left-arm spinner with consistent domestic record and useful T20 franchise economy,Limited IPL sample and needs more opportunities to show this quality at the top level
Mahipal Lomror,All-Rounder,75,75,58,False,26,Left,Left,Finisher,Part-time,Left-arm Orthodox,Left-hand middle-order batter and part-time left-arm spinner who has contributed in multiple IPL seasons,Not yet a consistent performer and both departments are below elite franchise level
Donovan Ferreira,Wicketkeeper,75,75,35,True,27,Right,Right,Finisher,Part-time,None,South African keeper-finisher who scored 317 runs for RR in 2026 IPL with good lower-order strike rate,Small IPL sample and the batting output needs to be confirmed across more seasons at this level
Urvil Patel,Wicketkeeper,75,75,10,False,27,Right,None,Aggressive Opener,Part-time,None,Attacking keeper-opener from Gujarat who scored at over 200 SR for CSK in 2026 with big-hitting ability,Small sample and the ability to sustain such strike rates across a full season is unproven
Tejasvi Dahiya,Batsman,75,75,10,False,23,Right,None,Middle-over Rotator,Part-time,None,Young right-hand middle-order batter with promising domestic track record and developing T20 franchise game,Very limited IPL outings and needs to establish a regular first-team role with sustained output
Srikar Bharat,Wicketkeeper,75,75,10,False,32,Right,None,Anchor,Part-time,None,Consistent domestic wicketkeeper-batter who has played for multiple IPL teams with solid if unspectacular output,Not a power-hitter and T20 batting needs more aggressive intent at the franchise level
Mukul Choudhary,Batsman,75,75,10,False,24,Right,None,Middle-over Rotator,Part-time,None,Young right-hand batter who scored 170 runs for LSG in 2026 with decent strike rate and improving form,Very limited sample and needs extended franchise opportunities to establish consistent T20 quality
Karun Nair,Batsman,75,75,10,False,34,Right,Right,Middle-over Rotator,Part-time,None,Experienced right-hand batter with a strong domestic record who scored well for DC in 2026 including an 89,T20 power game is not exceptional and batting needs more consistent IPL output across full seasons
Deepak Hooda,Batsman,75,74,44,False,31,Right,Right,Middle-over Rotator,Part-time,None,Right-hand middle-order batter with consistent domestic IPL career and useful part-time medium contribution,Not exceptional in either department at franchise level and role has shifted between teams
Sameer Rizvi,Batsman,75,74,30,False,22,Right,Right,Finisher,Part-time,None,Young CSK power-hitter who scored 252 runs in 2026 at 147 SR as a developing franchise finisher,Still young with limited sample and the role consistency within a top franchise needs establishing
Swapnil Singh,All-Rounder,75,70,74,False,35,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,Left-arm spinner and left-hand batter who contributed consistently in domestic cricket and IPL outings,Older player and both departments are below the very best IPL franchise-level performers
Will Sutherland,All-Rounder,75,64,75,True,26,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Australian bowling all-rounder whose developing credentials make him a viable T20 franchise option,Not at the elite level yet and both bowling economy and batting contribution need more consistency
Nathan Smith,All-Rounder,75,60,75,True,27,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,New Zealand bowling all-rounder with solid T20 credentials and genuine two-way franchise value,Not yet established at the highest IPL level and both departments need more consistent output
Ben Dwarshuis,Bowler (Fast),75,42,75,True,32,Left,Left,Defensive Tailender,Death Overs,Left-arm Fast,Australian left-arm death specialist with useful lower-order batting cameo ability and good T20 variations,Economy at death under high-pressure situations can spike and batting is not reliable
Mitchell Owen,All-Rounder,75,42,72,True,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Fast,Young Australian all-rounder who bats aggressively in lower-order and contributes useful pace bowling,IPL experience is very limited and both departments need further development at this level
Arshad Khan,All-Rounder,75,42,72,False,28,Left,Left,Lower-order Hitter,Flexible,Left-arm Fast,Aggressive lower-order left-hand batter and left-arm pacer who contributes usefully in limited overs,IPL opportunities limited and neither department is at the elite franchise level consistently
Shivam Mavi,Bowler (Fast),75,32,75,False,27,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Young right-arm pacer who generates good pace and took useful powerplay wickets in early IPL career,Economy needs tightening at franchise level and sustained top-level performance across seasons needed
Manav Suthar,Bowler (Spin),75,30,75,False,23,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Young Gujarat left-arm spinner who has shown good control and economy in limited IPL appearances,Very young and needs more sustained franchise experience to confirm elite T20 spinner status
Akash Madhwal,Bowler (Fast),75,14,75,False,32,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,Mumbai-based right-arm pacer who had standout death-over spells in IPL and generates aggressive pace,Economy at death can be expensive against the best batters and batting is minimal
Praful Hinge,Bowler (Fast),75,13,75,False,23,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,SRH young right-arm pacer who took 14 wickets in 2026 season with strong powerplay impact and pace,Tiny IPL sample with only one confirmed season and consistent economy across full campaigns needed
Shubham Dubey,Batsman,74,74,10,False,21,Left,None,Finisher,Part-time,None,Young left-hand lower-order hitter for RR with some promising T20 cameo innings in developing career,Very young and limited sample means the T20 finishing ability at elite level is unconfirmed
Salil Arora,Batsman,74,74,10,False,23,Right,None,Middle-over Rotator,Part-time,None,Right-hand batter for SRH who scored 156 runs in 2026 with a good strike rate as part of their batting group,Limited runs and a developing franchise role means long-term quality needs many more seasons
Manish Pandey,Batsman,74,74,10,False,36,Right,Right,Anchor,Part-time,None,Experienced IPL batter with a strong historical record who has been at multiple franchises over many years,At 36 form has declined significantly and modern T20 power-game requirements have passed him by
Lhuan-dre Pretorius,Batsman,74,74,10,True,20,Left,None,Aggressive Opener,Part-time,None,Exciting young South African left-hand opener with high T20 potential and aggressive international credentials,Very young with a tiny IPL sample of just a few innings making the franchise quality unconfirmed
Anmolpreet Singh,Batsman,74,74,10,False,27,Right,None,Middle-over Rotator,Part-time,None,Right-hand middle-order batter with decent domestic record and some IPL appearances across franchises,Limited IPL contributions and has not established a consistent first-team franchise role
Aniket Verma,Batsman,74,74,10,False,24,Right,None,Finisher,Part-time,None,Young SRH right-hand batter who showed flashes of finishing ability with 236 runs at 166 SR in 2025,Sample is developing and consistency against top T20 attacks across a full season is not yet proven
Musheer Khan,All-Rounder,74,73,68,False,21,Right,Left,Middle-over Rotator,Flexible,Left-arm Medium,Talented young Mumbai Indians all-rounder with genuine left-arm seam and developing batting credentials,Very young and both departments need significant development at the top IPL level
Vijay Shankar,All-Rounder,74,72,60,False,34,Right,Right,Lower-order Hitter,Part-time,Right-arm Medium,Tamil Nadu all-rounder with consistent domestic record who contributes in both departments at franchise level,Not exceptional at IPL level in either department and batting is lower-order cameo only
Harsh Dubey,All-Rounder,74,70,74,False,23,Left,Left,Middle-over Rotator,Middle Overs,Left-arm Orthodox,Young SRH left-arm spinner who took 8 wickets in 2026 and contributes left-hand batting lower in the order,Small sample and needs more seasons to confirm his left-arm spin quality at the elite level
Vipraj Nigam,Batsman,74,70,70,False,22,Right,Right,Middle-over Rotator,Middle Overs,Right-arm Offbreak,Young right-hand batter who contributes some off-spin and has shown development across 2025-26 seasons,Very young and not yet consistently performing at the elite level in either batting or bowling
Zak Foulkes,All-Rounder,74,58,72,True,24,Right,Right,Lower-order Hitter,Flexible,Right-arm Medium,Young Australian bowling all-rounder with franchise potential and improving T20 credentials,Limited IPL sample and both departments need further development before being franchise quality
Jayant Yadav,Bowler (Spin),74,48,72,False,36,Right,Right,Defensive Tailender,Middle Overs,Right-arm Offbreak,Experienced right-arm off-spinner with IPL career spanning many years and useful lower-order contributions,At 36 not a regular IPL first choice and economy needs to be tighter against modern power-hitters
Anukul Roy,Bowler (Spin),74,44,71,False,27,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm orthodox spinner who contributed 9 wickets for KKR in 2026 with a strong batting role at times,Not a frontline spinner at this level and batting contribution varies based on situation
Corbin Bosch,Bowler (Fast),74,42,70,True,31,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,South African pace-bowling all-rounder with useful lower-order hitting and cross-phase bowling ability,Economy can be inconsistent and T20 franchise quality across all phases not fully confirmed
Karn Sharma,Bowler (Spin),74,25,74,False,37,Left,Right,Defensive Tailender,Middle Overs,Leg-spin,Experienced IPL leg-spinner with many seasons of middle-over wicket-taking and consistent variation,At 37 he is ageing and batters now know his variations well making the surprise factor limited
Luke Wood,Bowler (Fast),74,22,74,True,30,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,English left-arm quick with useful pace who contributes across phases in limited IPL outings,Economy can be expensive against good batters and IPL sample is modest
Kumar Kartikeya,Bowler (Spin),74,16,74,False,28,Left,Left,Defensive Tailender,Middle Overs,Left-arm Orthodox,Left-arm spinner with good domestic credentials and some solid IPL middle-over spells,Not yet established as a reliable first-choice spinner at the elite franchise level
Gurnoor Brar,Bowler (Fast),74,16,74,False,26,Right,Right,Defensive Tailender,Flexible,Right-arm Fast,Young right-arm pacer with developing domestic credentials and some IPL exposure at multiple franchises,Limited IPL sample and economy needs tightening at the elite franchise level
Simarjeet Singh,Bowler (Fast),74,14,74,False,28,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,Mumbai pacer who has taken wickets in IPL powerplay phases with consistent domestic quality,Not a regular first choice at the elite level and economy needs to improve against quality batters
Waqar Salamkheil,Bowler (Spin),74,12,74,True,24,Right,Left,Defensive Tailender,Middle Overs,Left-arm Wrist Spin,Afghan left-arm wrist-spinner with deceptive variations and developing international T20 credentials,Very small IPL sample and young with limited franchise experience at the top level
Umran Malik,Bowler (Fast),74,11,74,False,26,Right,Right,Defensive Tailender,Death Overs,Right-arm Fast,One of India's fastest young bowlers with 150+ kph pace but inconsistent economy at franchise level,Pace is raw but accuracy under pressure remains a concern and batting is negligible
Mukesh Choudhary,Bowler (Fast),74,11,74,False,30,Left,Left,Defensive Tailender,Flexible,Left-arm Fast,Left-arm seamer who has featured across multiple IPL teams with useful variation and domestic quality,Economy can be expensive against aggressive batters and not yet a franchise-defining bowler
Ishant Sharma,Bowler (Fast),74,11,74,False,37,Right,Right,Defensive Tailender,New Ball,Right-arm Fast,India's most experienced pace bowler who has taken wickets across multiple IPL seasons with new-ball quality,At 37 pace has declined and he is now an experienced squad option rather than a front-line starter
Arshin Kulkarni,All-Rounder,73,73,64,False,21,Right,Right,Aggressive Opener,Flexible,Right-arm Medium,Young LSG two-way player with developing credentials and promising domestic form across batting and bowling,Very young and limited IPL appearances mean franchise-quality consistency is yet to be established
Atharva Taide,Batsman,73,73,18,False,26,Left,Left,Anchor,Part-time,Left-arm Orthodox,Left-hand anchor batter with domestic quality and some IPL contributions including left-arm spin variety,Not yet consistently performing at elite franchise level in batting or bowling
Vishnu Vinod,Wicketkeeper,73,73,10,False,32,Right,None,Anchor,Part-time,None,Experienced domestic wicketkeeper-batter who has featured for multiple IPL franchises with steady output,Not a powerful T20 batter and the aggressive game needed in modern IPL is not his strongest suit
Robin Minz,Wicketkeeper,73,73,10,False,24,Left,None,Finisher,Part-time,None,Young left-hand keeper-batter from MI who has shown glimpses of finishing ability in limited outings,Very small IPL sample and needs sustained first-team opportunities to confirm franchise quality
Mandeep Singh,Batsman,73,73,10,False,34,Right,None,Anchor,Part-time,None,Experienced right-hand batter who has played for multiple IPL franchises across many years with decent records,At 34 form has been inconsistent and the T20 power-game demands are increasingly challenging for him
Kumar Kushagra,Batsman,73,73,10,False,21,Right,None,Middle-over Rotator,Part-time,None,Young wicketkeeper-batter with domestic credentials who made his IPL debut with GT in 2026,Very young and limited IPL sample means quality needs confirmation through extended franchise experience
Anuj Rawat,Wicketkeeper,73,73,10,False,26,Left,None,Middle-over Rotator,Part-time,None,Left-hand keeper-batter from RCB who has played multiple IPL seasons with steady domestic quality,Not an elite powerplay attacker and the boundary rate in T20 needs improvement at franchise level
Suryansh Shedge,Batsman,73,72,42,False,23,Right,Right,Finisher,Part-time,None,Young PBKS right-hand finisher who scored 158 runs at 175 SR in 2026 with impressive death-over hitting,Small sample and young player who needs more campaigns to confirm this level of franchise quality
